Name,State,Type,Popularity,BestTimeToVisit
Taj Mahal,Uttar Pradesh,Historical,8.408281457,Nov-Feb
Goa Beaches,Goa,Beach,9.379923843,Nov-Mar
Jaipur City,Rajasthan,City,7.873481446,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.162324692,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.315488066,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.969950616,Nov-Feb
Goa Beaches,Goa,Beach,7.920959928,Nov-Mar
Jaipur City,Rajasthan,City,8.013552976,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.186215305,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,7.950916522,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.488999182,Nov-Feb
Goa Beaches,Goa,Beach,7.946596795,Nov-Mar
Jaipur City,Rajasthan,City,9.29747082,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.760694703,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.057546789,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.606176984,Nov-Feb
Goa Beaches,Goa,Beach,8.314502185,Nov-Mar
Jaipur City,Rajasthan,City,7.738761293,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.832207354,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.117132891,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.134764369,Nov-Feb
Goa Beaches,Goa,Beach,8.908499372,Nov-Mar
Jaipur City,Rajasthan,City,8.85700532,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.029543991,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.878382688,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.266030293,Nov-Feb
Goa Beaches,Goa,Beach,8.445148546,Nov-Mar
Jaipur City,Rajasthan,City,8.008251816,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.526677668,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.35737822,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.320896476,Nov-Feb
Goa Beaches,Goa,Beach,7.82461091,Nov-Mar
Jaipur City,Rajasthan,City,9.276956976,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.270981322,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.448235371,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.483879397,Nov-Feb
Goa Beaches,Goa,Beach,7.922286151,Nov-Mar
Jaipur City,Rajasthan,City,9.364747011,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.710901823,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.658172609,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.300525031,Nov-Feb
Goa Beaches,Goa,Beach,8.487140997,Nov-Mar
Jaipur City,Rajasthan,City,8.706955116,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.632562616,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.051203902,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.463332001,Nov-Feb
Goa Beaches,Goa,Beach,8.763403697,Nov-Mar
Jaipur City,Rajasthan,City,9.151665484,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.409146178,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.854728504,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.937176477,Nov-Feb
Goa Beaches,Goa,Beach,8.659032747,Nov-Mar
Jaipur City,Rajasthan,City,8.429521722,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.884525797,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.879069809,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,9.113864702,Nov-Feb
Goa Beaches,Goa,Beach,8.739477476,Nov-Mar
Jaipur City,Rajasthan,City,8.332950034,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.376325562,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.120122756,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.033376557,Nov-Feb
Goa Beaches,Goa,Beach,8.050919516,Nov-Mar
Jaipur City,Rajasthan,City,8.578600555,Oct-Mar
Kerala Backwaters,Kerala,Nature,9.289386994,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.26630952,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.138246013,Nov-Feb
Goa Beaches,Goa,Beach,8.685967653,Nov-Mar
Jaipur City,Rajasthan,City,7.78975361,Oct-Mar
Kerala Backwaters,Kerala,Nature,7.695324251,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,9.056239629,Apr-Jun
Taj Mahal,Uttar Pradesh,Historical,8.284126728,Nov-Feb
Goa Beaches,Goa,Beach,8.056589741,Nov-Mar
Jaipur City,Rajasthan,City,9.164900244,Oct-Mar
Kerala Backwaters,Kerala,Nature,8.418529332,Sep-Mar
Leh Ladakh,Jammu and Kashmir,Adventure,8.650437609,Apr-Jun
